merged_id,game_title,game_id,vgsales_rank,platform,genre,publisher,release_year,rating,global_sales,plays,wishlist,merge_date
1,Advance Wars,NULL,2925,gba,strategy,nintendo,2001,3.7,0.7,1900,266000,04-10-2025
2,Alan Wake,NULL,1444,x360,action,microsoft game studios,2010,3.6,1.35,6200,741000,04-10-2025
3,Alice: Madness Returns,NULL,3956,x360,adventure,electronic arts,2011,3.5,0.5,2800,636000,04-10-2025
4,Alice: Madness Returns,NULL,9789,pc,adventure,electronic arts,2011,3.5,0.12,2800,636000,04-10-2025
5,Alice: Madness Returns,NULL,3352,ps3,adventure,electronic arts,2011,3.5,0.6,2800,636000,04-10-2025
6,Alpha Protocol,NULL,14053,pc,role-playing,sega,2010,3.3,0.04,987000,182000,04-10-2025
7,Alpha Protocol,NULL,4495,ps3,role-playing,sega,2010,3.3,0.43,987000,182000,04-10-2025
8,Alpha Protocol,NULL,4877,x360,role-playing,sega,2010,3.3,0.4,987000,182000,04-10-2025
9,Animal Crossing,NULL,436,gc,simulation,nintendo,2001,3.9,3.15,3900,317000,04-10-2025
10,Animal Crossing,NULL,436,gc,simulation,nintendo,2001,3.9,3.15,3900,317000,04-10-2025
11,Animal Crossing: City Folk,NULL,227,wii,simulation,nintendo,2008,3.4,4.68,3100,129000,04-10-2025
12,Animal Crossing: New Leaf,NULL,74,3ds,simulation,nintendo,2012,4,9.09,9900,383000,04-10-2025
13,Ape Escape 3,NULL,9507,ps2,platform,sony computer entertainment,2005,4.3,0.13,874000,231000,04-10-2025
14,Armored Core,NULL,4736,ps,simulation,sony computer entertainment,1997,3.4,0.41,522000,216000,04-10-2025
15,Armored Core 2,NULL,2615,ps2,simulation,ubisoft,2000,3.6,0.79,278000,119000,04-10-2025
16,Armored Core 3,NULL,3025,ps2,simulation,metro 3d,2002,3.7,0.67,297000,142000,04-10-2025
17,Armored Core 4,NULL,7687,ps3,simulation,505 games,2006,3.7,0.2,252000,162000,04-10-2025
18,Assassin's Creed,NULL,159,x360,adventure,ubisoft,2007,2.9,5.55,13000,496000,04-10-2025
19,Assassin's Creed,NULL,219,ps3,adventure,ubisoft,2007,2.9,4.83,13000,496000,04-10-2025
20,Assassin's Creed,NULL,159,x360,adventure,ubisoft,2007,2.9,5.55,13000,496000,04-10-2025
21,Assassin's Creed,NULL,219,ps3,adventure,ubisoft,2007,2.9,4.83,13000,496000,04-10-2025
22,Assassin's Creed,NULL,159,x360,adventure,ubisoft,2007,2.9,5.55,13000,496000,04-10-2025
23,Assassin's Creed,NULL,219,ps3,adventure,ubisoft,2007,2.9,4.83,13000,496000,04-10-2025
24,Assassin's Creed II,NULL,157,ps3,action,ubisoft,2009,3.8,5.57,16000,521000,04-10-2025
25,Assassin's Creed II,NULL,177,x360,action,ubisoft,2009,3.8,5.27,16000,521000,04-10-2025
26,Assassin's Creed II,NULL,157,ps3,action,ubisoft,2009,3.8,5.57,16000,521000,04-10-2025
27,Assassin's Creed II,NULL,177,x360,action,ubisoft,2009,3.8,5.27,16000,521000,04-10-2025
28,Assassin's Creed III,NULL,2204,pc,action,ubisoft,2012,3,0.94,12000,390000,04-10-2025
29,Assassin's Creed III,NULL,129,ps3,action,ubisoft,2012,3,6.5,12000,390000,04-10-2025
30,Assassin's Creed III,NULL,5201,wiiu,action,ubisoft,2012,3,0.36,12000,390000,04-10-2025
31,Assassin's Creed III,NULL,173,x360,action,ubisoft,2012,3,5.3,12000,390000,04-10-2025
32,Assassin's Creed Syndicate,NULL,7563,pc,action,ubisoft,2015,3,0.2,5600,417000,04-10-2025
33,Assassin's Creed Syndicate,NULL,410,ps4,action,ubisoft,2015,3,3.28,5600,417000,04-10-2025
34,Assassin's Creed Syndicate,NULL,1545,xone,action,ubisoft,2015,3,1.28,5600,417000,04-10-2025
35,Asura's Wrath,NULL,4776,ps3,action,capcom,2012,3.7,0.41,2100,827000,04-10-2025
36,Asura's Wrath,NULL,6911,x360,action,capcom,2012,3.7,0.24,2100,827000,04-10-2025
37,Banjo-Kazooie,NULL,342,n64,platform,nintendo,1998,4,3.65,7400,765000,04-10-2025
38,Banjo-Kazooie,NULL,342,n64,platform,nintendo,1998,4,3.65,7400,765000,04-10-2025
39,Banjo-Tooie,NULL,1273,n64,platform,nintendo,2000,3.8,1.49,3000,485000,04-10-2025
40,Batman: Arkham Asylum,NULL,376,x360,action,eidos interactive,2009,3.9,3.5,17000,672000,04-10-2025
41,Batman: Arkham Asylum,NULL,263,ps3,action,eidos interactive,2009,3.9,4.25,17000,672000,04-10-2025
42,Batman: Arkham Asylum,NULL,5608,pc,action,eidos interactive,2009,3.9,0.32,17000,672000,04-10-2025
43,Batman: Arkham City,NULL,3791,pc,action,warner bros. interactive entertainment,2011,4.1,0.53,16000,651000,04-10-2025
44,Batman: Arkham City,NULL,160,ps3,action,warner bros. interactive entertainment,2011,4.1,5.53,16000,651000,04-10-2025
45,Batman: Arkham City,NULL,223,x360,action,warner bros. interactive entertainment,2011,4.1,4.76,16000,651000,04-10-2025
46,Batman: Arkham City,NULL,3791,pc,action,warner bros. interactive entertainment,2011,4.1,0.53,16000,651000,04-10-2025
47,Batman: Arkham City,NULL,160,ps3,action,warner bros. interactive entertainment,2011,4.1,5.53,16000,651000,04-10-2025
48,Batman: Arkham City,NULL,223,x360,action,warner bros. interactive entertainment,2011,4.1,4.76,16000,651000,04-10-2025
49,Batman: Arkham City,NULL,3791,pc,action,warner bros. interactive entertainment,2011,4.1,0.53,16000,651000,04-10-2025
50,Batman: Arkham City,NULL,160,ps3,action,warner bros. interactive entertainment,2011,4.1,5.53,16000,651000,04-10-2025
51,Batman: Arkham City,NULL,223,x360,action,warner bros. interactive entertainment,2011,4.1,4.76,16000,651000,04-10-2025
52,Batman: Arkham Knight,NULL,1319,xone,action,warner bros. interactive entertainment,2015,3.7,1.45,13000,757000,04-10-2025
53,Batman: Arkham Knight,NULL,323,ps4,action,warner bros. interactive entertainment,2015,3.7,3.79,13000,757000,04-10-2025
54,Batman: Arkham Knight,NULL,9571,pc,action,warner bros. interactive entertainment,2015,3.7,0.13,13000,757000,04-10-2025
55,Batman: Arkham Knight,NULL,1319,xone,action,warner bros. interactive entertainment,2015,3.7,1.45,13000,757000,04-10-2025
56,Batman: Arkham Knight,NULL,323,ps4,action,warner bros. interactive entertainment,2015,3.7,3.79,13000,757000,04-10-2025
57,Batman: Arkham Knight,NULL,9571,pc,action,warner bros. interactive entertainment,2015,3.7,0.13,13000,757000,04-10-2025
58,Batman: Arkham Knight,NULL,1319,xone,action,warner bros. interactive entertainment,2015,3.7,1.45,13000,757000,04-10-2025
59,Batman: Arkham Knight,NULL,323,ps4,action,warner bros. interactive entertainment,2015,3.7,3.79,13000,757000,04-10-2025
60,Batman: Arkham Knight,NULL,9571,pc,action,warner bros. interactive entertainment,2015,3.7,0.13,13000,757000,04-10-2025
61,Batman: Arkham Origins,NULL,656,ps3,action,warner bros. interactive entertainment,2013,3.4,2.39,7800,632000,04-10-2025
62,Batman: Arkham Origins,NULL,887,x360,action,warner bros. interactive entertainment,2013,3.4,1.93,7800,632000,04-10-2025
63,Batman: Arkham Origins,NULL,5567,wiiu,action,warner bros. interactive entertainment,2013,3.4,0.33,7800,632000,04-10-2025
64,Batman: Arkham Origins,NULL,5584,pc,action,warner bros. interactive entertainment,2013,3.4,0.32,7800,632000,04-10-2025
65,Battlefield 4,NULL,858,xone,shooter,electronic arts,2013,3.5,1.98,7100,124000,04-10-2025
66,Battlefield 4,NULL,337,ps3,shooter,electronic arts,2013,3.5,3.69,7100,124000,04-10-2025
67,Battlefield 4,NULL,1388,pc,shooter,electronic arts,2013,3.5,1.4,7100,124000,04-10-2025
68,Battlefield 4,NULL,366,x360,shooter,electronic arts,2013,3.5,3.53,7100,124000,04-10-2025
69,Battlefield 4,NULL,387,ps4,shooter,electronic arts,2013,3.5,3.43,7100,124000,04-10-2025
70,Battlefield: Bad Company 2,NULL,2858,pc,shooter,electronic arts,2010,3.6,0.71,4200,119000,04-10-2025
71,Battlefield: Bad Company 2,NULL,478,ps3,shooter,electronic arts,2010,3.6,2.97,4200,119000,04-10-2025
72,Battlefield: Bad Company 2,NULL,380,x360,shooter,electronic arts,2010,3.6,3.48,4200,119000,04-10-2025
73,Bayonetta,NULL,1627,ps3,action,sega,2009,3.9,1.23,13000,2300,04-10-2025
74,Bayonetta,NULL,2208,x360,action,sega,2009,3.9,0.94,13000,2300,04-10-2025
75,Bayonetta,NULL,1627,ps3,action,sega,2009,3.9,1.23,13000,2300,04-10-2025
76,Bayonetta,NULL,2208,x360,action,sega,2009,3.9,0.94,13000,2300,04-10-2025
77,Bayonetta,NULL,1627,ps3,action,sega,2009,3.9,1.23,13000,2300,04-10-2025
78,Bayonetta,NULL,2208,x360,action,sega,2009,3.9,0.94,13000,2300,04-10-2025
79,Bayonetta 2,NULL,2043,wiiu,action,nintendo,2014,4.1,1.01,6000,2000,04-10-2025
80,Beyond Good & Evil,NULL,10510,xb,adventure,ubisoft,2003,3.9,0.1,2300,629000,04-10-2025
81,Beyond Good & Evil,NULL,5451,ps2,adventure,ubisoft,2003,3.9,0.33,2300,629000,04-10-2025
82,Beyond Good & Evil,NULL,11831,gc,adventure,ubisoft,2003,3.9,0.07,2300,629000,04-10-2025
83,Beyond: Two Souls,NULL,971,ps3,adventure,sony computer entertainment,2013,2.7,1.79,5400,524000,04-10-2025
84,Billy Hatcher and the Giant Egg,NULL,6668,gc,platform,sega,2003,3.1,0.25,797000,212000,04-10-2025
85,Binary Domain,NULL,7832,x360,action,sega,2012,3.5,0.19,1100,192000,04-10-2025
